Al,Sb,As,Ba,Be,Cd,Ca,Cr,Cr,Co,Cu,Fe,Pb,Mg,Mn,Hg,Mo,Ni,NITRITE_NITRATE_UG_G_DRY,N,P,K,Se,Ag,Na,Na,Sr,S,Tl,Ti,U,V,Zn
18450,0.06,4.5,122.0,0.5,0.17,11920.0,0.5,60.0,11.8,30.0,24600,46,7980,442,0.11,0.05,32.9,14.0,340000.0,1.0,2880,0.12,0.21,0.135,440,54,50000.0,0.6,2390,0.7,49,89
21000,0.3,6.9,121.0,0.5,0.26,16260.0,0.5,71.0,14.5,52.0,26200,50,9670,469,0.09,0.05,37.1,8.0,370000.0,1.1,3520,0.4,0.12,0.208,476,60,46000.0,0.6,2660,1.7,48,111
20200,0.4,5.7,126.0,0.6,0.3,15960.0,0.5,64.0,13.9,36.0,24200,43,9410,456,0.1,0.05,35.7,91.0,400000.0,1.15,3450,0.5,0.11,0.215,478,62,54000.0,0.5,2440,1.6,48,107
9040,0.06,1.3,40.4,0.2,0.12,15440.0,0.5,32.0,6.2,14.0,11190,8,4540,230,0.0,0.5,18.9,95.0,630000.0,0.6,1034,0.4,0.06,0.805,189,72,48000.0,0.5,2880,0.6,26,39
7850,0.05,1.9,38.3,0.2,0.19,18530.0,0.5,27.0,5.1,13.0,10210,9,4050,190,0.05,0.9,16.0,60.7,750000.0,0.59,994,0.6,0.12,0.441,167,66,49000.0,0.5,1350,1.6,22,35
7900,0.07,1.1,43.7,0.2,0.1,3070.0,0.5,20.0,4.6,10.0,11340,14,2160,258,0.0,0.05,10.3,0.7,150000.0,0.41,920,0.16,0.12,0.182,267,26,27000.0,1.4,1670,0.4,21,24
8500,0.12,1.6,38.5,0.1,0.17,3200.0,0.5,23.0,5.3,16.0,11850,13,2190,269,0.05,0.05,11.0,0.4,160000.0,0.44,900,0.3,0.05,0.262,125,30,22000.0,0.6,1910,1.0,23,27
8840,0.05,1.5,33.6,0.2,0.15,2790.0,0.5,23.0,5.2,8.0,11430,12,2220,206,0.04,0.05,11.7,0.7,140000.0,0.4,842,0.3,0.06,0.25,118,26,22000.0,0.5,1720,1.0,22,23
7900,0.07,1.1,43.7,0.2,0.1,3070.0,0.5,20.0,4.6,10.0,11340,14,2160,258,0.0,0.05,27.9,0.7,150000.0,0.41,920,0.16,0.09,0.182,267,26,27000.0,1.4,2830,0.4,51,24
8500,0.12,1.6,38.5,0.1,0.17,3200.0,0.5,23.0,5.3,16.0,11850,13,2190,269,0.05,0.05,25.9,0.4,160000.0,0.44,900,0.5,0.09,0.262,125,30,22000.0,0.6,2720,1.0,52,27
8840,0.05,1.5,33.6,0.2,0.15,2790.0,0.5,23.0,5.2,8.0,11430,12,2220,206,0.04,0.05,28.2,0.7,140000.0,0.4,842,0.4,0.08,0.25,118,26,22000.0,0.5,2760,1.0,55,23
7860,0.17,2.6,37.3,0.5,0.23,11810.0,0.5,24.0,4.8,28.0,11860,34,3470,192,0.07,0.05,17.8,1.6,380000.0,0.66,803,0.3,0.09,0.34,656,24,53000.0,0.5,1410,0.9,24,50
7120,0.05,3.5,31.1,0.3,0.29,12100.0,0.5,25.0,5.1,19.0,11370,21,2940,182,0.06,0.05,19.1,16.0,370000.0,0.58,581,0.4,0.05,0.322,155,24,71000.0,0.5,1270,1.7,22,50
8660,0.05,3.2,38.3,0.3,0.36,13280.0,0.5,30.0,6.1,23.0,13590,28,3310,224,0.07,0.05,21.8,19.0,330000.0,0.62,750,0.4,0.04,0.384,187,28,70000.0,0.8,1420,1.9,27,62
10060,0.05,0.9,49.9,0.3,0.05,2900.0,0.5,19.0,4.5,9.0,10580,13,1647,325,0.04,0.05,20.2,0.6,100000.0,0.57,472,0.09,0.04,0.473,161,21,16000.0,0.6,2000,0.5,31,16
8150,0.4,1.2,35.4,0.2,0.01,2330.0,0.5,17.0,3.2,9.0,10310,11,1257,172,0.04,0.16,23.1,0.6,90000.0,0.49,467,0.2,0.03,0.551,128,21,18000.0,0.6,1720,0.9,40,13
8460,0.8,0.9,33.4,0.2,0.03,2480.0,0.5,16.0,3.1,3.0,9840,10,1203,188,0.03,0.05,23.6,0.5,90000.0,0.43,473,0.2,0.03,0.435,126,20,16000.0,0.7,2170,1.0,42,12
10060,0.05,0.9,49.9,0.3,0.05,2900.0,0.5,19.0,4.5,9.0,10580,13,1647,325,0.04,0.05,6.6,0.6,100000.0,0.57,472,0.09,0.04,0.473,161,21,16000.0,0.6,2600,0.5,24,16
8150,0.4,1.2,35.4,0.2,0.01,2330.0,0.5,17.0,3.2,9.0,10310,11,1257,172,0.04,0.16,4.7,0.6,90000.0,0.49,467,0.2,0.03,0.551,128,21,18000.0,0.6,2930,0.9,30,13
8460,0.8,0.9,33.4,0.2,0.03,2480.0,0.5,16.0,3.1,3.0,9840,10,1203,188,0.03,0.05,4.4,0.5,90000.0,0.43,473,0.2,0.03,0.435,126,20,16000.0,0.7,2790,1.0,30,12
15230,0.2,8.5,73.8,0.6,0.25,6600.0,0.5,40.0,11.0,47.0,22100,20,5400,683,0.09,4.8,22.0,0.5,320000.0,0.95,991,0.8,0.07,0.422,285,33,39000.0,0.5,3090,11.0,68,59
15340,0.5,7.6,73.4,0.5,0.26,6400.0,0.5,39.0,10.2,37.0,22300,18,5490,659,0.08,4.5,20.6,0.5,280000.0,0.96,1003,0.8,0.06,0.368,261,33,48000.0,0.6,2880,11.0,67,54
4930,0.06,0.6,27.8,0.2,0.06,1247.0,0.5,9.0,1.8,15.0,5880,10,562,71,0.0,0.05,2.2,0.6,60000.0,0.16,345,0.08,0.09,0.537,98,12,12000.0,0.5,2430,0.4,20,14
6350,0.2,1.3,20.4,0.2,0.03,2070.0,0.5,18.0,4.0,16.0,13090,8,1291,100,0.01,0.05,4.6,0.7,40000.0,0.17,462,0.1,0.05,0.907,132,20,10000.0,0.6,2720,1.0,51,19
5660,0.3,1.4,19.0,0.2,0.08,1698.0,0.5,17.0,3.7,10.0,13150,8,1195,89,0.01,0.05,4.8,0.5,40000.0,0.18,408,0.08,0.05,0.732,112,15,9000.0,0.6,3090,1.1,47,18
6960,0.13,0.9,36.3,0.1,0.16,1398.0,0.5,12.0,2.6,15.0,12660,16,823,101,0.0,0.05,3.6,10.0,210000.0,0.26,426,0.4,0.08,0.411,79,13,25000.0,0.5,2380,0.6,28,27
6100,0.3,1.0,22.0,0.2,0.23,1426.0,0.5,14.0,2.4,17.0,11120,20,728,94,0.05,0.6,3.0,13.0,210000.0,0.23,393,0.5,0.15,0.287,52,14,28000.0,0.7,2310,1.1,32,25
4360,0.12,1.2,34.0,0.2,0.18,1137.0,0.5,11.0,2.0,17.0,8240,16,540,72,0.04,0.3,2.5,11.0,190000.0,0.2,314,0.4,0.1,0.161,37,11,29000.0,0.5,2250,1.0,27,23
23800,0.17,4.5,131.0,0.9,0.26,9790.0,0.5,53.0,14.6,32.0,34800,43,9080,695,0.0,0.05,29.3,1.5,260000.0,0.67,4350,0.3,0.09,0.262,443,43,27000.0,0.5,3260,0.9,53,87
24800,0.4,4.4,124.0,0.9,0.37,12090.0,0.5,59.0,16.4,43.0,33400,41,9640,833,0.07,0.3,29.9,0.9,290000.0,0.61,4360,0.5,0.15,0.187,384,48,40000.0,0.5,3310,2.0,58,97
22600,0.6,4.3,120.0,0.8,0.35,12500.0,0.5,49.0,14.7,34.0,30500,39,8870,628,0.08,0.3,27.1,0.7,290000.0,0.64,4260,0.5,0.17,0.185,358,46,34000.0,0.5,3160,2.0,55,94
24200,0.08,2.2,137.0,1.0,0.25,8330.0,0.5,52.0,14.5,26.0,27400,32,8960,618,0.0,0.05,29.9,2.5,420000.0,0.76,4830,0.3,0.1,0.685,410,38,33000.0,0.5,3070,0.9,55,95
31000,0.05,3.4,146.0,1.1,0.23,15480.0,0.5,59.0,15.9,39.0,33700,32,11840,567,0.04,0.05,35.6,3.0,420000.0,0.71,6140,0.3,0.19,0.354,435,36,28000.0,0.5,2810,2.2,58,90
30700,0.05,3.6,153.0,1.1,0.34,9760.0,0.5,57.0,16.3,43.0,34200,36,10170,593,0.04,0.05,35.3,3.0,410000.0,0.72,5410,0.3,0.17,0.514,344,35,39000.0,0.5,3170,2.1,59,102
31100,0.13,1.1,154.0,0.8,0.32,7250.0,0.5,56.0,10.5,34.0,21800,23,6160,199,0.0,0.05,30.4,4.6,370000.0,0.86,2100,0.3,0.13,1.36,294,44,46000.0,0.5,1770,1.8,40,75
16150,0.6,59.0,211.0,0.6,0.83,7290.0,0.5,31.0,17.4,24.0,18690,46,4760,1670,0.09,0.6,19.2,0.5,390000.0,0.76,2450,0.3,0.21,0.34,181,53,103000.0,0.5,2460,0.8,37,111
11690,0.8,66.0,154.0,0.4,0.67,6320.0,0.5,26.0,11.5,30.0,16100,46,3900,880,0.1,0.5,16.2,0.2,370000.0,0.72,1948,0.4,0.15,0.53,154,46,118000.0,0.5,2340,0.8,30,100
32700,0.1,1.0,145.0,0.8,0.46,8260.0,0.5,59.0,10.8,40.0,22900,26,6200,190,0.07,0.05,31.5,4.5,340000.0,0.83,2230,0.4,0.13,1.24,285,42,46000.0,0.5,2970,2.9,42,79
36600,0.05,1.3,156.0,0.9,0.49,7160.0,0.5,63.0,10.4,34.0,21300,26,5520,180,0.08,0.05,31.8,3.5,350000.0,0.93,2090,0.5,0.26,1.43,306,42,48000.0,0.5,3030,3.2,43,80
14920,0.12,1.6,72.8,0.5,17.1,2280.0,0.5,23.0,3.0,20.0,23600,21,2430,235,0.06,0.4,10.6,0.9,210000.0,0.27,900,0.4,0.08,0.172,105,15,24000.0,0.5,2780,1.6,65,49
13760,0.2,1.7,57.4,0.5,0.13,2680.0,0.5,28.0,7.1,12.0,22100,20,2410,240,0.06,0.2,12.7,0.6,200000.0,0.29,878,0.4,0.08,0.267,89,17,28000.0,0.5,2480,1.4,57,39
15270,0.12,1.6,71.9,0.5,0.17,3080.0,0.5,30.0,7.3,48.0,24700,26,2600,254,0.08,0.2,13.0,0.5,260000.0,0.37,1022,0.4,0.13,0.315,98,19,31000.0,0.5,2950,1.3,64,58
9020,0.18,1.7,40.7,0.3,0.14,4220.0,0.5,20.0,4.4,10.0,8920,14,2280,120,0.04,0.16,9.4,0.9,300000.0,0.92,970,0.3,0.06,0.081,174,23,44000.0,0.5,1860,2.7,23,31
8330,0.05,1.1,39.1,0.3,0.16,4010.0,0.5,17.0,4.1,15.0,9110,14,2220,106,0.05,0.12,8.9,1.3,290000.0,0.9,904,0.3,0.06,0.082,157,21,44000.0,0.5,1670,2.7,22,31
13550,0.15,7.9,69.1,0.1,0.4,4270.0,0.5,17.0,10.9,39.0,31800,49,2750,639,0.13,0.5,11.8,1.7,380000.0,0.79,882,0.8,0.09,9.25,675,9,55000.0,0.5,7390,1.4,85,67
13100,0.15,4.2,53.8,0.5,0.34,6870.0,0.5,25.0,13.9,37.0,28600,48,3400,510,0.15,0.2,14.1,0.9,430000.0,0.91,833,1.0,0.11,6.55,852,12,45000.0,0.5,6870,1.9,72,64
11350,0.3,4.0,58.1,0.4,0.37,5790.0,0.5,21.0,22.2,128.0,26800,57,2480,915,0.1,0.4,16.6,2.4,450000.0,0.93,747,0.9,0.09,8.0,720,12,47000.0,0.5,6490,2.1,60,97
3610,0.3,0.2,47.5,0.1,0.22,1215.0,0.5,5.0,0.2,1.0,15070,19,647,234,0.05,0.3,2.3,1.2,220000.0,0.23,396,0.18,0.2,0.171,61,7,26000.0,1.0,4500,1.0,41,24
4410,0.8,1.8,52.5,0.2,0.18,1410.0,0.5,10.0,3.6,17.0,20100,22,706,213,0.05,0.5,4.8,1.0,230000.0,0.29,440,0.4,0.08,0.175,70,10,30000.0,0.5,4690,1.3,41,29
4100,0.2,1.4,42.3,0.2,0.18,1254.0,0.5,9.0,3.2,6.0,17180,21,618,212,0.05,0.6,4.5,10.0,200000.0,0.27,379,0.4,0.1,0.129,55,8,26000.0,0.5,4450,1.3,34,28
13240,0.05,5.5,73.2,0.4,0.28,7310.0,0.5,37.0,8.5,19.0,29000,18,3660,253,0.07,0.05,18.3,1.8,190000.0,0.57,1115,0.2,0.02,0.41,1070,20,13000.0,1.1,3270,1.2,72,59
12820,0.05,4.5,72.2,0.4,0.28,7190.0,0.5,39.0,8.7,21.0,28300,23,3770,254,0.07,0.05,19.7,1.4,210000.0,0.59,1240,0.2,0.02,1.11,1170,20,21000.0,1.0,3390,1.0,71,62
13150,0.05,4.6,69.4,0.4,0.31,7040.0,0.5,36.0,8.0,18.0,28200,18,3520,237,0.07,0.05,17.2,1.3,190000.0,0.57,1084,0.2,0.02,0.731,1086,20,26000.0,0.8,3070,0.9,68,56
38600,0.18,3.2,82.9,0.5,0.16,2460.0,0.5,28.0,7.9,94.0,31600,25,3650,138,0.13,0.7,13.1,9.4,600000.0,0.47,900,1.15,0.02,0.22,298,11,7000.0,0.5,4170,0.7,87,50
22200,0.2,2.8,82.2,0.4,0.3,2480.0,0.5,18.0,7.6,86.0,26000,24,2010,141,0.12,0.6,10.0,4.6,780000.0,0.77,748,0.95,0.02,0.29,557,8,10000.0,0.5,4580,0.5,83,44
24700,0.08,2.8,85.8,0.4,0.27,2970.0,0.5,21.0,7.9,80.0,29000,26,2640,158,0.1,0.5,10.6,4.5,510000.0,0.48,863,0.9,0.02,0.29,575,12,18000.0,0.5,4600,0.5,97,48
28100,0.05,2.3,96.9,0.6,0.2,15180.0,0.5,54.0,17.0,33.0,35000,16,14570,469,0.04,0.05,32.7,1.7,240000.0,0.68,3480,0.17,0.05,0.074,1160,31,12000.0,0.5,5060,1.0,101,62
27900,0.05,2.7,114.0,0.7,0.19,15020.0,0.5,62.0,17.2,36.0,33300,19,15180,502,0.04,0.05,34.1,1.2,270000.0,0.73,3860,0.25,0.08,0.093,1125,34,18000.0,0.6,3720,0.9,81,69
28400,0.05,2.7,106.0,0.6,0.15,15470.0,0.5,63.0,16.8,39.0,33600,18,14950,503,0.04,0.05,33.3,1.4,270000.0,0.75,3740,0.19,0.06,0.138,1204,33,29000.0,0.5,3930,1.1,87,64
7890,0.05,1.0,33.2,0.3,0.06,3550.0,0.5,19.0,5.9,12.0,15770,12,3320,192,0.03,0.15,9.8,23.2,180000.0,0.5,589,0.14,0.02,0.84,192,17,30000.0,0.5,2050,1.0,29,22
9390,0.05,0.7,37.7,0.4,0.05,3200.0,0.5,21.0,6.4,14.0,16020,11,3370,244,0.05,0.18,9.8,3.3,170000.0,0.48,674,0.16,0.02,0.187,166,16,30000.0,0.5,2290,1.2,31,22
8190,0.4,1.0,37.9,0.3,0.06,3420.0,0.5,19.0,5.9,14.0,15210,11,2990,232,0.04,0.14,9.0,4.0,180000.0,0.49,580,0.13,0.03,1.05,182,16,29000.0,0.5,1895,1.3,30,20
14140,0.4,4.4,97.4,0.4,0.93,8730.0,0.5,48.0,7.8,26.0,25400,46,4100,497,0.12,0.4,21.5,23.6,600000.0,0.83,1187,0.55,0.05,0.197,125,34,50000.0,0.5,3010,0.7,56,102
13070,0.4,4.5,95.6,0.4,0.87,9030.0,0.5,46.0,7.6,28.0,26500,45,4050,574,0.13,0.5,18.2,29.9,700000.0,0.84,1124,0.65,0.07,0.25,125,35,66000.0,0.7,2840,0.7,55,106
5950,0.4,1.2,29.4,0.2,0.12,2570.0,0.5,13.0,3.2,8.0,7510,14,1429,159,0.04,0.06,5.4,0.3,130000.0,0.26,541,0.07,0.04,0.33,68,15,31000.0,0.5,1872,0.5,21,27
5830,0.3,1.4,33.3,0.2,0.15,2650.0,0.5,13.0,3.2,10.0,8460,16,1315,223,0.05,0.07,4.3,0.2,140000.0,0.27,518,0.19,0.04,0.29,64,14,38000.0,0.5,2040,0.5,23,32
5500,0.05,1.1,31.5,0.1,0.15,2400.0,0.5,13.0,3.0,8.0,7520,14,1297,178,0.04,0.05,4.5,0.2,120000.0,0.26,479,0.05,0.04,0.29,66,14,28000.0,0.5,2050,0.5,22,26
4540,0.12,1.9,17.5,0.2,0.09,55100.0,0.5,14.2,4.5,9.8,10130,7,8200,231,0.02,0.05,7.8,3.9,70000.0,0.27,631,0.05,0.02,0.024,65,39,24000.0,0.5,1624,0.4,18,18
4050,0.08,2.0,15.2,0.2,0.1,57200.0,0.5,14.2,4.4,8.5,9180,6,8810,205,0.02,0.4,7.4,4.8,50000.0,0.27,644,0.05,0.02,0.029,72,41,16000.0,0.5,1955,0.4,17,17
4440,0.08,2.0,16.2,0.2,0.1,52900.0,0.5,13.2,4.2,8.9,8660,6,8050,219,0.02,0.06,8.8,4.1,80000.0,0.3,601,0.05,0.08,0.037,71,38,16000.0,0.5,2270,0.5,16,17
6380,0.05,15.7,20.0,0.2,0.03,64600.0,0.5,17.0,4.8,10.0,11700,8,15220,178,0.02,0.05,15.8,2.1,30000.0,0.28,840,0.1,0.07,1.06,224,47,27000.0,0.5,1592,0.7,20,20
5670,0.05,8.4,20.6,0.2,0.02,67900.0,0.5,18.0,4.7,10.0,11900,6,16040,177,0.02,0.08,9.6,1.8,20000.0,0.27,850,0.06,0.03,0.57,276,48,22000.0,0.5,1759,0.7,20,16
5540,0.05,9.0,17.3,0.2,0.05,63800.0,0.5,17.0,4.5,9.0,10940,7,15470,171,0.04,0.06,8.9,2.4,10000.0,0.24,652,0.06,0.02,2.03,145,43,28000.0,0.5,1654,0.6,19,16
16260,0.05,9.1,34.0,0.3,0.05,3740.0,0.5,55.0,13.8,25.0,20800,10,6030,257,0.03,0.05,42.7,1.7,50000.0,0.19,826,0.3,0.08,0.57,151,24,21000.0,0.5,2650,0.9,44,34
16280,0.05,10.5,39.2,0.4,0.05,4010.0,0.5,62.0,15.1,30.0,24000,11,6410,285,0.03,0.05,36.5,1.5,40000.0,0.22,966,0.2,0.02,0.58,185,26,30000.0,0.5,2800,0.9,48,35
14260,0.05,9.8,36.4,0.3,0.07,3700.0,0.5,56.0,13.6,30.0,22700,10,6210,260,0.03,0.13,50.5,2.2,50000.0,0.25,836,0.25,0.03,0.64,146,21,35000.0,0.5,2620,0.9,44,34
12130,0.05,5.4,135.0,0.4,0.74,4860.0,0.5,33.0,10.9,26.0,19320,28,3430,1028,0.1,0.05,19.1,1.8,510000.0,0.57,1181,0.5,0.09,0.13,275,22,6000.0,0.5,4720,0.8,76,144
13130,0.18,5.0,141.0,0.3,1.03,7400.0,0.5,29.0,8.6,36.0,17190,40,3220,909,0.14,0.08,17.2,1.9,650000.0,0.64,1552,0.6,0.1,0.238,313,26,12000.0,0.9,3440,0.8,61,145
11400,0.05,4.6,143.0,0.3,1.0,7030.0,0.5,30.0,8.2,28.0,17100,32,3060,952,0.13,0.2,17.6,1.6,650000.0,0.66,1223,0.6,0.09,0.099,208,25,13000.0,0.7,4060,0.8,64,148
12370,0.08,4.5,137.0,0.3,1.0,6160.0,0.5,30.0,12.5,28.0,21600,33,2700,1261,0.1,0.05,19.4,1.8,430000.0,0.75,1518,0.5,0.15,0.068,185,27,7000.0,0.5,5620,0.7,59,178
17710,0.12,4.4,137.0,0.5,1.04,7030.0,0.5,39.0,16.9,49.0,25000,38,4060,1604,0.11,0.05,30.1,1.6,470000.0,0.79,1788,0.6,0.1,0.079,338,37,9000.0,0.9,4880,0.8,70,241
11520,0.1,5.0,183.0,0.4,1.09,11920.0,0.5,27.0,13.2,45.0,17820,60,3120,1839,0.13,0.05,25.3,2.3,830000.0,0.93,1791,0.7,0.13,0.112,198,58,6000.0,0.8,3370,0.5,97,299
14890,0.05,1.5,77.4,0.3,0.11,5440.0,0.5,33.0,13.5,18.0,26000,16,3870,473,0.01,0.05,25.8,18.0,210000.0,0.88,942,0.19,0.02,0.07,681,20,25000.0,0.5,4330,0.5,106,68
14780,0.05,1.4,80.4,0.4,0.11,5080.0,0.5,34.0,13.5,17.0,26200,16,3720,508,0.02,0.05,26.1,17.0,220000.0,0.89,872,0.2,0.02,0.039,630,20,27000.0,0.5,4320,0.4,110,70
8830,0.1,3.0,72.8,0.3,0.16,3080.0,0.5,20.0,5.6,6.0,16220,15,1802,1266,0.05,0.05,6.8,0.2,140000.0,0.58,795,0.2,0.03,0.07,146,23,34000.0,0.5,2620,0.9,39,48
8920,0.12,2.8,74.7,0.2,0.14,3510.0,0.5,22.0,6.0,8.0,18670,17,2010,1226,0.04,0.05,8.5,0.4,170000.0,0.73,778,0.16,0.03,0.054,138,21,41000.0,0.5,2780,0.6,42,53
11650,0.05,2.4,81.6,0.3,0.13,3860.0,0.5,25.0,7.5,7.0,22100,19,2340,1347,0.05,0.05,9.4,0.3,150000.0,0.73,938,0.13,0.03,0.23,201,29,34000.0,0.5,2800,0.9,53,59
5480,0.12,1.2,39.9,0.2,0.12,12000.0,0.5,9.0,2.3,13.0,7530,10,2300,71,0.03,0.06,5.8,9.6,400000.0,0.38,613,0.6,0.02,0.22,81,23,78000.0,0.5,997,1.3,12,18
5590,0.4,1.2,20.2,0.2,0.11,11190.0,0.5,10.0,2.5,16.0,6900,10,2650,70,0.03,0.3,5.7,5.7,400000.0,0.37,588,0.6,0.05,0.23,82,18,75000.0,0.5,901,1.6,13,17
5380,0.4,1.1,37.6,0.2,0.12,10580.0,0.5,10.0,2.5,14.0,7010,8,2430,67,0.03,0.08,4.9,6.4,400000.0,0.4,590,0.6,0.02,0.25,80,18,86000.0,0.5,989,1.6,13,18
10740,0.3,3.0,106.0,0.4,0.13,12060.0,0.5,20.0,4.9,17.0,14230,20,5920,205,0.05,0.07,10.5,9.9,210000.0,0.49,1868,0.3,0.03,0.35,188,35,70000.0,0.5,1470,0.6,27,40
8640,0.3,2.4,109.0,0.3,0.19,10780.0,0.5,19.0,4.6,17.0,11400,26,5530,189,0.05,0.06,10.8,12.0,180000.0,0.52,1627,0.4,0.02,0.23,166,40,64000.0,0.5,1450,0.6,23,62
10220,0.2,5.8,107.0,0.4,0.16,10600.0,0.5,20.0,5.0,16.0,12660,21,6090,216,0.05,0.06,10.6,7.8,210000.0,0.49,1895,0.6,0.03,0.25,173,32,65000.0,0.5,1800,0.6,27,42
9430,0.15,1.8,26.0,0.2,0.06,5180.0,0.5,32.0,7.5,20.0,14660,6,3750,229,0.01,0.05,14.6,5.3,170000.0,0.42,635,0.19,0.02,0.33,173,30,55000.0,0.5,1690,0.6,26,29
7950,0.05,1.9,23.2,0.1,0.04,3700.0,0.5,29.0,6.7,18.0,13160,6,3350,194,0.02,0.05,13.1,7.5,160000.0,0.43,569,0.19,0.02,0.23,133,22,45000.0,0.5,1830,0.6,23,23
8660,0.05,2.0,24.9,0.2,0.1,5140.0,0.5,33.0,7.5,17.0,14110,7,3660,232,0.02,0.05,14.5,6.2,160000.0,0.42,641,0.2,0.02,0.24,164,30,52000.0,0.5,1690,0.6,27,28
14040,0.05,2.2,80.7,0.4,0.07,6470.0,0.5,31.0,8.3,15.0,16190,15,5080,415,0.02,0.05,13.4,1.4,230000.0,0.58,3070,0.19,0.02,0.53,287,34,57000.0,0.5,2110,0.9,35,40
9440,0.05,1.3,54.3,0.3,0.04,5340.0,0.5,25.0,6.9,9.0,12670,11,3880,297,0.01,0.05,10.3,0.9,170000.0,0.6,2130,0.13,0.02,0.67,263,37,52000.0,0.5,1920,1.0,30,32
9610,0.05,1.6,56.7,0.3,0.04,5600.0,0.5,24.0,7.0,10.0,13950,12,3880,299,0.01,0.05,10.8,0.8,140000.0,0.59,2220,0.19,0.02,0.66,277,35,45000.0,0.5,1930,0.9,31,33
4550,0.2,1.0,29.6,0.2,0.08,1199.0,0.5,11.0,2.3,3.0,8280,8,704,182,0.01,0.05,4.0,1.1,100000.0,0.49,440,0.1,0.02,0.183,48,10,15000.0,0.5,1260,0.3,20,29
4880,0.05,1.0,30.0,0.1,0.07,1194.0,0.5,11.0,2.3,4.0,9520,7,720,192,0.01,0.05,3.8,1.3,110000.0,0.48,438,0.13,0.02,0.158,47,11,18000.0,0.5,977,0.4,20,28
5270,0.05,1.1,31.7,0.2,0.07,1321.0,0.5,12.0,2.7,4.0,12370,9,740,218,0.01,0.05,4.3,1.1,90000.0,0.48,463,0.13,0.04,0.191,54,11,16000.0,0.5,977,1.0,25,30
23400,0.05,2.3,120.0,0.6,0.16,7990.0,0.5,60.0,18.2,17.0,28900,20,9350,1140,0.05,0.05,29.3,0.6,160000.0,0.61,3640,0.3,0.06,0.327,430,43,8000.0,1.0,3450,0.8,64,127
20400,0.05,2.0,97.6,0.5,0.13,6680.0,0.5,50.0,15.1,24.0,25400,16,8620,814,0.05,0.05,25.3,0.5,140000.0,0.47,2720,0.3,0.05,0.306,377,37,8000.0,0.7,3300,0.7,53,103
14010,0.05,1.6,41.4,0.3,0.07,2530.0,0.5,17.0,6.0,9.0,14380,11,1840,159,0.04,0.05,9.8,0.5,110000.0,0.33,552,0.4,0.02,0.449,179,17,17000.0,0.6,2120,0.6,37,28
13760,0.12,1.6,42.1,0.4,0.06,2650.0,0.5,17.0,5.6,9.0,14180,11,1842,152,0.05,0.05,9.6,0.7,110000.0,0.34,558,0.4,0.02,0.375,177,18,11000.0,0.6,2330,0.6,39,27
12750,0.05,1.6,39.8,0.3,0.06,1792.0,0.5,16.0,4.9,7.0,14290,12,1545,123,0.04,0.05,8.7,0.5,120000.0,0.36,414,0.4,0.02,0.127,116,10,15000.0,0.5,2240,0.6,35,23
10030,0.15,3.1,143.0,0.4,0.51,5550.0,0.5,14.0,7.9,8.0,26400,19,2610,758,0.08,0.7,5.2,30.5,330000.0,0.82,1157,0.4,0.02,0.091,241,18,35000.0,0.5,5260,0.8,45,84
12480,0.05,1.7,53.6,0.3,0.25,5500.0,0.5,17.0,6.1,6.0,18850,17,2610,453,0.06,0.05,6.8,4.1,240000.0,0.8,938,0.3,0.09,0.036,246,15,42000.0,0.5,3720,0.6,37,58
10660,0.05,1.4,54.6,0.3,0.29,6580.0,0.5,18.0,6.4,7.0,21600,16,2640,550,0.06,0.3,7.7,5.9,190000.0,0.6,936,0.4,0.04,0.039,241,14,42000.0,0.5,3600,0.5,39,53
11840,0.05,1.7,56.9,0.4,0.27,6090.0,0.5,17.0,6.3,6.0,20800,16,2630,587,0.06,0.13,7.7,4.6,190000.0,0.64,939,0.35,0.03,0.046,231,15,28000.0,0.5,3530,0.6,37,55
13870,0.05,1.6,57.5,0.5,0.31,9040.0,0.5,21.0,7.2,9.0,22200,20,3220,754,0.08,0.05,8.0,4.3,210000.0,1.03,1459,0.3,0.05,0.046,318,25,39000.0,0.5,779,0.7,36,59
12340,0.05,4.3,51.9,0.4,0.29,7230.0,0.5,15.0,5.2,10.0,16720,19,2560,703,0.07,0.05,7.1,3.6,280000.0,0.96,1085,0.6,0.04,0.031,188,20,50000.0,0.5,2920,0.9,27,57
12110,0.08,4.0,52.4,0.4,0.25,7200.0,0.5,17.0,5.8,9.0,18440,19,2580,665,0.07,0.3,7.0,3.8,280000.0,0.98,1072,0.3,0.06,0.042,193,19,45000.0,0.5,3150,0.9,29,50
15470,0.5,0.5,81.0,0.5,0.43,6720.0,0.5,23.0,8.3,9.0,29800,31,3770,1480,0.08,0.05,9.6,0.8,220000.0,0.8,1051,0.8,0.06,0.097,166,16,42000.0,0.5,4940,1.2,51,86
15400,0.3,0.3,87.1,0.5,0.48,6620.0,0.5,24.0,8.0,9.0,30600,33,3790,1664,0.08,0.05,9.8,1.0,230000.0,0.87,991,0.8,0.08,0.083,154,16,25000.0,0.5,5580,1.2,52,94
15300,0.5,0.5,79.1,0.5,0.46,6040.0,0.5,21.0,7.7,10.0,29200,33,3500,1530,0.09,0.05,9.4,0.7,240000.0,0.83,895,0.8,0.09,0.094,128,14,49000.0,0.5,5250,1.4,49,89
6800,0.08,2.3,53.7,0.2,0.24,1501.0,0.5,13.0,4.4,7.0,21300,28,1046,428,0.08,0.11,4.2,49.8,310000.0,0.59,546,0.8,0.18,0.082,93,9,60000.0,0.8,5540,0.4,51,33
