Al,Sb,As,Ba,Be,Cd,Ca,Cr,Cr,Co,Cu,Fe,Pb,Mg,Mn,Hg,Mo,Ni,NITRITE_NITRATE_UG_G_DRY,N,P,K,Se,Ag,Na,Na,Sr,S,Tl,Ti,U,V,Zn
24900,0.12,6.0,114.0,0.8,0.38,18770.0,0.5,34.0,10.4,22.0,27400,23,11880,1126,0.05,0.05,15.1,0.4,270000.0,0.71,5840,0.4,0.05,0.104,133,26,20000.0,0.5,2570,1.2,40,72
23900,0.05,5.9,110.0,0.9,0.37,17150.0,0.5,34.0,20.1,26.0,27100,24,11090,1002,0.06,0.05,14.5,6.0,260000.0,0.7,5620,0.4,0.05,0.134,129,26,18000.0,0.5,3200,1.2,41,71
23500,0.05,5.3,106.0,0.8,0.33,20500.0,0.5,32.0,9.4,24.0,25500,20,12200,863,0.06,0.05,14.8,0.3,230000.0,0.62,5440,0.4,0.04,0.111,130,28,22000.0,0.5,4160,1.1,39,65
21600,0.3,6.0,83.7,0.6,0.19,11310.0,0.5,30.0,9.1,17.0,24300,26,6430,575,0.06,0.6,18.6,17.1,250000.0,0.47,3810,0.5,0.06,0.068,110,22,20000.0,0.5,3450,1.2,40,57
21600,0.2,6.2,85.2,0.7,0.33,12160.0,0.5,30.0,9.1,18.0,24800,30,6070,612,0.06,0.2,18.3,15.1,250000.0,0.59,3830,0.5,0.04,0.078,110,26,24000.0,0.5,2710,1.3,40,95
20900,0.4,6.7,83.4,0.7,0.26,12870.0,0.5,30.0,9.1,21.0,24300,28,6470,593,0.06,0.13,18.7,11.7,240000.0,0.56,3850,0.5,0.04,0.146,101,29,22000.0,0.5,3390,1.3,39,74
24900,0.12,6.0,114.0,0.8,0.38,18770.0,0.5,34.0,10.4,22.0,27400,23,11880,1126,0.05,0.05,19.8,0.4,270000.0,0.71,5840,0.4,0.05,0.104,133,26,20000.0,0.5,2570,1.2,40,72
23900,0.05,5.9,110.0,0.9,0.37,17150.0,0.5,34.0,20.1,26.0,27100,24,11090,1002,0.06,0.05,19.6,6.0,260000.0,0.7,5620,0.4,0.05,0.134,129,26,18000.0,0.5,3200,1.2,41,71
23500,0.05,5.3,106.0,0.8,0.33,20500.0,0.5,32.0,9.4,24.0,25500,20,12200,863,0.06,0.05,18.8,0.3,230000.0,0.62,5440,0.4,0.04,0.111,130,28,22000.0,0.5,4160,1.1,39,65
21800,0.3,3.2,85.7,0.8,0.36,10520.0,0.5,32.0,9.0,21.0,23800,42,6200,389,0.07,0.05,18.4,0.5,310000.0,0.77,3820,0.4,0.02,0.077,146,23,48000.0,0.5,840,0.9,40,76
22400,0.15,2.4,90.1,1.0,0.38,19830.0,0.5,26.0,11.3,41.0,33700,33,9610,1220,0.0,0.05,22.3,5.0,180000.0,0.92,6930,0.3,0.06,0.097,236,33,23000.0,0.5,2960,1.8,38,81
13040,0.05,2.6,55.3,0.5,0.25,3070.0,0.5,15.0,5.4,8.0,17550,15,2370,599,0.04,0.05,7.8,5.0,190000.0,0.78,1084,0.4,0.07,0.076,122,11,44000.0,0.6,3430,1.7,30,52
12660,0.3,2.6,53.9,0.5,0.22,3370.0,0.5,15.0,5.4,7.0,17470,14,2580,548,0.04,0.05,7.9,10.0,180000.0,0.78,1237,0.4,0.07,0.07,129,11,32000.0,0.5,3560,1.7,32,49
12540,0.05,2.0,53.8,0.5,0.17,62700.0,0.5,21.0,6.5,13.0,15990,17,31200,596,0.05,0.05,11.8,29.0,280000.0,0.85,3110,0.3,0.13,0.411,258,44,38000.0,0.5,2370,1.4,34,62
12390,0.08,3.0,54.6,0.5,0.21,57800.0,0.5,18.0,6.1,17.0,15330,17,31500,564,0.04,0.05,11.1,16.0,310000.0,0.85,3120,0.5,0.1,0.301,281,41,40000.0,0.5,2320,0.7,33,61
13580,0.08,3.0,57.6,0.5,0.21,58500.0,0.5,20.0,6.4,17.0,16890,16,31500,598,0.04,0.05,11.8,16.0,330000.0,0.9,3410,0.5,0.11,0.258,281,42,35000.0,0.5,2280,0.7,34,63
14010,0.12,3.0,54.2,0.5,0.18,32600.0,0.5,25.0,7.1,10.0,18440,19,16120,469,0.06,0.05,11.3,6.1,220000.0,0.9,2140,0.4,0.11,0.156,249,32,29000.0,0.5,3040,1.8,40,50
14140,0.3,3.6,51.4,0.4,0.26,28200.0,0.5,18.0,5.3,10.0,19020,17,15460,369,0.06,0.05,9.1,6.0,250000.0,0.88,2220,0.5,0.12,0.042,247,26,32000.0,0.5,2770,2.0,34,43
15110,0.4,4.1,55.5,0.6,0.22,24800.0,0.5,21.0,5.5,14.0,19730,19,13670,407,0.06,0.4,9.9,5.9,250000.0,1.02,2430,0.5,0.13,0.048,238,28,34000.0,0.5,2880,2.1,36,48
16930,0.2,10.2,61.4,0.6,0.16,25800.0,0.5,25.0,7.8,17.0,20000,35,14150,661,0.08,0.05,13.7,12.0,250000.0,0.9,2790,0.5,0.09,0.197,202,26,37000.0,0.5,2570,1.4,33,65
15580,0.3,9.3,57.3,0.5,0.2,25700.0,0.5,20.0,6.0,17.0,20600,32,15210,512,0.07,0.05,11.2,10.5,280000.0,0.89,2610,0.4,0.12,0.051,204,23,36000.0,0.5,2570,1.7,33,59
16600,0.2,14.2,59.1,0.5,0.21,23800.0,0.5,22.0,6.6,17.0,20500,33,14620,577,0.08,0.05,11.9,10.6,270000.0,0.81,2530,0.4,0.13,0.079,210,24,37000.0,0.5,2660,1.6,33,56
19130,0.12,2.8,74.3,0.7,0.24,15320.0,0.5,30.0,9.3,13.0,24300,18,8210,725,0.05,0.05,14.3,10.6,210000.0,0.81,2480,0.4,0.07,0.438,287,24,24000.0,0.5,3560,1.6,50,71
20200,0.3,3.2,74.1,0.6,0.29,14090.0,0.5,24.0,7.9,12.0,24200,18,8110,557,0.05,0.05,12.8,20.9,210000.0,0.72,2790,0.4,0.12,0.215,363,24,29000.0,0.5,3350,2.0,43,65
34000,0.05,4.2,131.0,1.2,0.2,15680.0,0.5,35.0,16.7,26.0,37000,35,9360,1211,0.05,0.05,24.3,6.7,220000.0,0.73,5630,0.6,0.31,0.23,101,39,78000.0,0.5,5150,1.1,46,94
35200,0.05,4.0,133.0,1.2,0.19,19220.0,0.5,36.0,15.3,29.0,34300,33,9960,1159,0.04,0.05,24.4,5.7,230000.0,0.75,7000,0.5,0.34,0.26,119,40,74000.0,0.5,4800,1.1,51,92
38000,0.05,4.6,136.0,1.2,0.25,11480.0,0.5,37.0,17.2,37.0,36800,38,8960,1319,0.05,0.05,23.9,7.3,210000.0,0.74,6720,0.6,0.27,0.3,105,36,85000.0,0.5,5160,1.0,53,100
7870,0.3,1.7,24.2,0.3,0.14,16080.0,0.5,11.0,3.9,8.0,14240,11,4230,400,0.03,0.14,5.5,29.2,170000.0,0.64,918,0.11,0.11,0.159,176,26,52000.0,0.5,3120,0.6,23,33
8050,0.2,2.3,25.3,0.3,0.13,16420.0,0.5,12.0,3.9,8.0,13950,13,4320,408,0.04,0.05,5.6,37.9,190000.0,0.74,1132,0.05,0.05,0.188,192,25,46000.0,0.5,3340,0.7,23,36
7920,0.1,1.8,24.1,0.3,0.11,16860.0,0.5,11.0,3.8,7.0,13980,13,4320,392,0.03,0.05,5.5,26.5,200000.0,0.65,995,0.12,0.12,0.21,188,27,54000.0,1.2,2950,0.7,23,35
10960,0.4,2.5,31.1,0.3,0.16,4870.0,0.5,12.0,3.5,8.0,11790,24,1783,136,0.05,0.05,5.3,7.4,220000.0,0.71,1492,0.3,0.11,0.78,134,17,63000.0,0.5,2680,0.7,20,42
